gemeinde;ort_id;ort
Neustrelitz, Stadt;680;Klein Trebbow (Neustrelitz, Stadt)
Klein Vielen;510;Klein Vielen (Klein Vielen)
Breest;191;Klempenow (Breest)
Schönfeld;5;Klenz (Schönfeld)
Kletzin;514;Kletzin (Kletzin)
Klink;518;Klink (Klink)
Galenbeck;387;Klockow (Galenbeck)
Schloen-Dratow;763;Klockow (Schloen-Dratow)
Stavenhagen, Reuterstadt, Sta*;812;Klockow (Stavenhagen, Reuterstadt, Sta*)
Klocksin;523;Klocksin (Klocksin)
Hohen Wangelin;98;Kniep (Hohen Wangelin)
Knorrendorf;527;Knorrendorf (Knorrendorf)
Fincken;360;Knüppeldamm (Fincken)
Fünfseen;381;Kogel (Fünfseen)
Feldberger Seenlandschaft;958;Koldenhof (Feldberger Seenlandschaft)
Werder;882;Kölln (Werder)
Stavenhagen, Reuterstadt, Sta*;815;Kölpin (Stavenhagen, Reuterstadt, Sta*)
Eldetal;1661;Kornhorst (Eldetal)
Galenbeck;391;Kotelow (Galenbeck)
Rechlin;739;Kotzow (Rechlin)
Möllenhagen;614;Kraase (Möllenhagen)
Kratzeburg;533;Kratzeburg (Kratzeburg)
Groß Miltzow;434;Kreckow (Groß Miltzow)
Burg Stargard, Stadt;106;Kreuzbruchhof (Burg Stargard, Stadt)
Groß Nemerow;443;Krickow (Groß Nemerow)
Kratzeburg;531;Krienke (Kratzeburg)
Kriesow;536;Kriesow (Kriesow)
Kuckssee;243;Krukow (Kuckssee)
Feldberger Seenlandschaft;329;Krumbeck (Feldberger Seenlandschaft)
Lärz;548;Krümmel (Lärz)
Jürgenstorf;500;Krummsee (Jürgenstorf)
Feldberger Seenlandschaft;1014;Krüseliner Mühle (Feldberger Seenlandschaft)
Lindenberg;554;Krusemarkshagen (Lindenberg)
Kublank;542;Kublank (Kublank)
Kummerow;544;Kummerow (Kummerow)
Dargun, Stadt;296;Kützerhof (Dargun, Stadt)
Feldberger Seenlandschaft;353;Labee (Feldberger Seenlandschaft)
Feldberger Seenlandschaft;343;Laeven (Feldberger Seenlandschaft)
Neustrelitz, Stadt;692;Langhagen (Neustrelitz, Stadt)
Moltzow;624;Langwitz (Moltzow)
Neustrelitz, Stadt;694;Lankhorst (Neustrelitz, Stadt)
Peenehagen;715;Lansen (Peenehagen)
Kuckssee;246;Lapitz (Kuckssee)
Lärz;547;Lärz (Lärz)
Malchow, Stadt;583;Laschendorf (Malchow, Stadt)
Göhren-Lebbin;410;Lebbin (Göhren-Lebbin)
Groß Teetzleben;457;Lebbin (Groß Teetzleben)
Dargun, Stadt;229;Lehnenhof (Dargun, Stadt)
Möllenhagen;612;Lehsten (Möllenhagen)
Utzedel;841;Leistenow (Utzedel)
Leizen;553;Leizen (Leizen)
Malchow, Stadt;25;Lenz Nord (Malchow, Stadt)
Fünfseen;32;Lenz Süd (Fünfseen)
Lindetal;558;Leppin (Lindetal)
Siedenbrünzow;6;Leppin (Siedenbrünzow)
Gnevkow;403;Letzin (Gnevkow)
Gnevkow;123;Letzin-Siedlung (Gnevkow)
Kummerow;543;Leuschentin (Kummerow)
Mirow, Stadt;593;Leussow (Mirow, Stadt)
Peenehagen;709;Levenstorf (Peenehagen)
Dargun, Stadt;293;Levin (Dargun, Stadt)
Dargun, Stadt;294;Levin Werder (Dargun, Stadt)
Walow;863;Lexow (Walow)
Feldberger Seenlandschaft;333;Lichtenberg (Feldberger Seenlandschaft)
Friedland, Stadt;372;Liepen (Friedland, Stadt)
Gielow;398;Liepen (Gielow)
Hohen Wangelin;474;Liepen (Hohen Wangelin)
Lindenberg;556;Lindenberg (Lindenberg)
Userin;74;Lindenberg (Userin)
Demmin, Hansestadt;315;Lindenfelde (Demmin, Hansestadt)
Borrentin;180;Lindenhof (Borrentin)
Burg Stargard, Stadt;105;Lindenhof (Burg Stargard, Stadt)
Groß Miltzow;439;Lindow (Groß Miltzow)
Altentreptow, Stadt;143;Loickenzin (Altentreptow, Stadt)
Burg Stargard, Stadt;204;Loitz (Burg Stargard, Stadt)
Jabel;494;Loppin (Jabel)
